relative_time,AccX,AccY,AccZ
2981,-2.1907386779785156,-6.8523430824279785,1.8196299076080322
3022,-3.0383031368255615,-6.900228023529053,1.7813218832015991
3062,-3.110130548477173,-6.97445011138916,1.8483608961105347
3102,-3.1795637607574463,,
3103,,-7.769340991973877,2.612126588821411
3142,-3.2370259761810303,-7.822014331817627,2.6528289318084717
3182,-3.2513914108276367,-7.8052544593811035,2.6264920234680176
3223,-3.268151044845581,-9.016745567321777,2.643251895904541
3262,-3.3184304237365723,,
3263,,-11.1404447555542,2.592972755432129
3303,-3.3902578353881836,-11.111713409423828,2.5402991771698
3347,-4.192331790924072,-11.121291160583496,1.415001630783081
3384,-5.003982067108154,,
3385,,-12.016739845275879,1.3527511358261108
3429,-4.089378833770752,-10.96087646484375,0.1580204963684082
3465,-4.075013160705566,-10.951298713684082,0.17956873774528503
3506,-4.086984634399414,-10.893836975097656,0.1891457438468933
3546,-4.041493892669678,-9.873886108398438,0.16041474044322968
3585,-4.017551422119141,-8.789291381835938,0.22505949437618256
3625,-3.984031915664673,-8.715069770812988,0.2849157452583313
3666,-4.015157222747803,-8.70309829711914,1.022344708442688
3706,-4.015157222747803,-8.61929988861084,1.0678354501724243
3747,-4.005579948425293,-7.824408531188965,1.10374915599823
3787,-4.0726189613342285,-7.848351001739502,1.1659996509552002
3829,-5.2194647789001465,-8.791686058044434,2.1428537368774414
3868,-5.2769269943237305,-10.563430786132812,2.1955270767211914
3913,-5.233830451965332,-11.600140571594238,2.1931328773498535
3948,-5.150031566619873,-11.648025512695312,2.1715846061706543
3988,-4.383871555328369,-11.58816909790039,2.15482497215271
4029,-4.3719000816345215,-10.52512264251709,2.1165168285369873
4070,-3.3902578353881836,-9.404613494873047,2.068631887435913
4112,-2.2817201614379883,-8.3080472946167,2.0542664527893066
4150,-2.2960855960845947,-7.199509620666504,2.0542664527893066
4190,-3.1771695613861084,-7.165989875793457,2.018352746963501
4230,-3.9074158668518066,-7.20429801940918,2.0231411457061768
4270,-3.8619251251220703,-7.283308029174805,
4271,,,2.0566606521606445
4314,-3.8260114192962646,-8.051862716674805,2.995206594467163
4351,-3.7757320404052734,-8.054256439208984,3.0143606662750244
4393,-3.763760805130005,-9.284900665283203,
4394,,,2.992812395095825
4431,-3.7446067333221436,-11.37986946105957,2.0614490509033203
4472,-3.8020689487457275,,
4473,,-11.305647850036621,2.011169910430908
4512,-4.723855018615723,-11.37747573852539,1.9441308975219727
4553,-4.731037616729736,-12.466858863830566,1.1109319925308228
4595,-3.847559690475464,-11.461274147033691,
4596,,,0.2370307445526123
4633,-3.840376853942871,,
4634,,-11.406206130981445,0.24421349167823792
4673,-3.871502161026001,-10.534699440002441,0.20111699402332306
4714,-3.837982654571533,,
4715,,-9.306448936462402,0.20111699402332306
4755,-3.7781262397766113,-8.145237922668457,0.24421349167823792
4796,-3.837982654571533,-8.1596040725708,1.1492398977279663
4834,-3.9169929027557373,-8.138055801391602,1.1516342163085938
4878,-3.948117971420288,,
4879,,-8.097352981567383,1.1061434745788574
4914,-4.762163162231445,,
4915,,-8.10932445526123,1.10374915599823
4955,-4.845961570739746,-8.154814720153809,1.1683939695358276
4995,-5.588179111480713,-8.968859672546387,1.8962459564208984
5035,-5.5474772453308105,,
5037,,-11.0973482131958,1.9752562046051025
5078,-4.683152675628662,-11.19311809539795,1.9752562046051025
5116,-4.6999125480651855,-11.24339771270752,1.9369481801986694
5156,-4.675970077514648,-11.248186111450195,1.9513136148452759
5196,-3.8858675956726074,-10.254571914672852,1.9800447225570679
5237,-2.968869924545288,-8.832387924194336,1.9704676866531372
5279,-2.099757194519043,-8.039891242980957,1.9513136148452759
5317,-2.075814723968506,,
5318,,-7.024729251861572,1.9680733680725098
5361,-3.220266103744507,-6.976844310760498,1.9249769449234009
5398,-3.2873051166534424,-6.995998382568359,1.8699091672897339
5438,-3.2777280807495117,-7.853139877319336,
5439,,,1.9249769449234009
5479,-3.301670551300049,-7.814831733703613,1.9848331212997437
5518,-3.328007459640503,-7.750186920166016,1.972861886024475
5562,-4.283313274383545,-9.608124732971191,0.9146034717559814
5599,-4.3766889572143555,,
5600,,-10.723845481872559,1.702311635017395
